Age,Income,Education,Gender,City,Marital_Status,Purchase_History,Website_Visits,Avg_Session_Duration,Preferred_Payment,Churn
25,45000,Bachelor,Male,Delhi,Single,3,15,120,Credit Card,No
32,58000,Master,Female,Mumbai,Married,5,22,95,UPI,No
41,72000,PhD,Male,Bangalore,Married,7,35,110,Net Banking,No
29,51000,Bachelor,Female,Pune,Single,2,10,75,UPI,Yes
54,85000,Master,Male,Delhi,Married,8,42,130,Credit Card,No
37,64000,Bachelor,Female,Hyderabad,Divorced,4,18,90,Debit Card,Yes
46,71000,PhD,Female,Chennai,Married,9,40,105,Credit Card,No
22,39000,Bachelor,Male,Pune,Single,1,8,60,UPI,Yes
35,59000,Master,Female,Delhi,Married,5,20,100,Net Banking,No
48,76000,PhD,Male,Mumbai,Married,10,38,115,Credit Card,No
27,47000,Bachelor,Female,Hyderabad,Single,3,14,85,Debit Card,Yes
52,83000,Master,Male,Chennai,Married,9,45,125,Credit Card,No
31,56000,Master,Female,Pune,Single,4,16,70,UPI,Yes
45,70000,PhD,Male,Delhi,Married,8,30,110,Net Banking,No
39,65000,Bachelor,Female,Mumbai,Divorced,5,25,95,Debit Card,Yes
50,78000,PhD,Male,Bangalore,Married,9,40,120,Credit Card,No
28,49000,Bachelor,Female,Hyderabad,Single,3,12,80,UPI,Yes
42,71000,Master,Male,Pune,Married,6,28,100,Net Banking,No
33,60000,Bachelor,Female,Delhi,Single,4,18,90,Debit Card,Yes
47,74000,PhD,Male,Mumbai,Married,9,37,115,Credit Card,No
